 Кужлевка: Обзор;Интерактивный рассказ в лучших традициях нашей фантастики;Степан Песков;6 апреля 

  18 The Legend of Heroes: Trails to Azure: Обзор;Рассказываем о долгожданном ремастере и новом аниме;Кирилл Волошин;24 марта 

  40 Season: A Letter to the Future: Обзор;Мир, который не хочется забывать;Алексей Лихачев;26 января 

  7 Kenshi: Обзор;Мы зря пропустили культовую игру;Кирилл Волошин;25 января 

  28 Marvel's Midnight Suns: Обзор;Лучшая игра по вселенной Marvel?;Алексей Лихачев;12 декабря 2022 

  64 Mount & Blade II: Bannerlord: Обзор;Тихий шедевр;Степан Песков;7 ноября 2022 

  19 The Legend of Heroes: Trails from Zero: Мы зря пропустили;Лучший способ познакомиться с JRPG;Кирилл Волошин;8 октября 2022 

  44 Return to Monkey Island: Обзор;Блестящее возвращение серии;Алексей Лихачев;26 сентября 2022 

  12 Rollerdrome: Обзор;Tony Hawk? Max Payne? Всё вместе!;Алексей Лихачев;21 августа 2022 

  11 Stray: Обзор;Лучшая игра про кота. И не только;Степан Песков;24 июля 2022 

  94 Cuphead: The Delicious Last Course: Обзор;Подостывшее, но роскошное блюдо;Алексей Лихачев;3 июля 2022 

  22 AI: The Somnium Files - Nirvana Initiative: Обзор;В копилку лучших детективных историй;Алексей Лихачев;29 июня 2022 

  12 Neon White: Обзор;Главный хит лета?;Кирилл Волошин;28 июня 2022 

  52 Citizen Sleeper: Обзор;Одна из лучших историй года;Алексей Лихачев;11 мая 2022 

  9 The Stanley Parable: Ultra Deluxe: Обзор;10 вёдер из 10;Кирилл Волошин;5 мая 2022 

  27 Rogue Legacy 2: Обзор;Блестящий сиквел замечательной игры;Алексей Лихачев;28 апреля 2022 

  7 Sable: Мы зря пропустили;Идиллия в пустыне;Владимир Сечкарев;25 апреля 2022 

  9 NORCO: Обзор;Крутые утки, Христос и блюз;Кирилл Волошин;7 апреля 2022 

  15